player_id,name,position,projected_war,marcel_war,statcast_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip,actual_war
677594,Julio Rodríguez,batter,6.743,7.204,-0.46,23.0,11.75,1302.0,4.22
665742,Juan Soto,batter,6.403,6.403,0.0,25.0,18.09,2078.0,8.0
665487,Fernando Tatís,batter,6.294,5.982,0.313,25.0,11.84,1181.0,2.65
592450,Aaron Judge,batter,6.141,5.729,0.412,32.0,21.21,1829.0,10.9
605141,Mookie Betts,batter,5.811,6.209,-0.398,31.0,19.35,1965.0,4.64
663586,Austin Riley,batter,5.756,5.756,0.0,27.0,18.76,2171.0,2.89
671739,Michael Harris,batter,5.676,5.676,0.0,23.0,8.6,1007.0,3.19
660670,Ronald Acuña,batter,5.508,5.166,0.341,26.0,14.2,1662.0,0.02
621566,Matt Olson,batter,5.299,5.299,0.0,30.0,16.77,2126.0,3.86
683002,Gunnar Henderson,batter,5.196,5.196,0.0,23.0,7.05,767.0,8.79
663656,Kyle Tucker,batter,5.019,5.019,0.0,27.0,16.25,2021.0,4.61
543760,Marcus Semien,batter,4.941,5.381,-0.44,33.0,20.53,2283.0,4.48
608369,Corey Seager,batter,4.93,4.65,0.28,30.0,14.41,1743.0,5.22
608070,José Ramírez,batter,4.906,5.219,-0.313,31.0,17.43,2044.0,6.82
683011,Anthony Volpe,batter,4.867,4.867,0.0,23.0,3.25,601.0,3.49
665926,Andrés Giménez,batter,4.797,5.253,-0.456,25.0,13.3,1412.0,3.99
668939,Adley Rutschman,batter,4.782,4.782,0.0,26.0,9.75,1170.0,3.14
670541,Yordan Álvarez,batter,4.768,4.506,0.262,27.0,14.45,1834.0,5.21
596019,Francisco Lindor,batter,4.712,4.712,0.0,30.0,14.57,1929.0,6.83
657277,Logan Webb,pitcher,4.658,4.658,0.0,27.0,14.02,571.1,3.79
666182,Bo Bichette,batter,4.588,4.843,-0.255,26.0,14.33,2005.0,-0.34
665489,Vladimir Guerrero,batter,4.527,4.527,0.0,25.0,12.32,2103.0,6.02
682998,Corbin Carroll,batter,4.514,5.014,-0.5,23.0,6.51,838.0,3.3
660271,Shohei Ohtani,batter,4.506,4.506,0.0,29.0,14.4,1904.0,9.04
607208,Trea Turner,batter,4.255,4.52,-0.265,31.0,15.22,2171.0,2.82
621020,Dansby Swanson,batter,4.248,4.248,0.0,30.0,12.94,2065.0,3.96
543037,Gerrit Cole,pitcher,4.191,4.191,0.0,33.0,15.68,611.1,1.85
677951,Bobby Witt,batter,4.18,4.18,0.0,24.0,5.21,1326.0,9.62
665161,Jeremy Peña,batter,4.175,4.467,-0.292,26.0,8.84,1295.0,3.93
680757,Steven Kwan,batter,4.151,4.468,-0.317,26.0,8.88,1388.0,3.95
518692,Freddie Freeman,batter,4.15,4.15,0.0,34.0,17.77,2232.0,4.52
669203,Corbin Burnes,pitcher,4.089,4.089,0.0,29.0,13.09,572.2,3.86
673540,Kodai Senga,pitcher,4.067,4.067,0.0,31.0,4.47,166.1,0.09
593428,Xander Bogaerts,batter,4.04,4.54,-0.5,31.0,15.01,1950.0,1.23
676440,Tanner Bibee,pitcher,3.996,4.468,-0.472,25.0,3.87,142.0,2.64
668678,Zac Gallen,pitcher,3.978,3.978,0.0,28.0,11.74,548.3,2.68
673357,Luis Robert,batter,3.93,3.93,0.0,26.0,11.18,1310.0,1.32
608331,Max Fried,pitcher,3.894,3.894,0.0,30.0,12.68,462.5,3.48
682928,CJ Abrams,batter,3.848,3.848,0.0,23.0,3.51,916.0,3.33
621043,Carlos Correa,batter,3.846,3.846,0.0,29.0,13.92,1902.0,3.65
608324,Alex Bregman,batter,3.839,3.839,0.0,30.0,11.61,1956.0,3.98
666969,Adolis García,batter,3.825,3.825,0.0,31.0,12.08,1979.0,0.67
592518,Manny Machado,batter,3.778,4.278,-0.5,31.0,14.47,1937.0,3.09
641487,J. P. Crawford,batter,3.719,3.719,0.0,29.0,11.54,1952.0,2.66
669257,Will Smith,batter,3.71,3.71,0.0,29.0,11.91,1714.0,3.42
673490,Ha-Seong Kim,batter,3.696,4.025,-0.33,28.0,12.49,1555.0,2.58
624413,Pete Alonso,batter,3.625,3.625,0.0,29.0,11.75,1992.0,2.48
646240,Rafael Devers,batter,3.613,3.613,0.0,27.0,11.56,1985.0,3.92
656305,Matt Chapman,batter,3.606,3.606,0.0,31.0,11.4,1841.0,7.07
669242,Tommy Edman,batter,3.582,3.582,0.0,29.0,11.99,1861.0,0.9
682985,Riley Greene,batter,3.551,3.551,0.0,23.0,3.18,834.0,5.28
554430,Zack Wheeler,pitcher,3.551,3.551,0.0,34.0,16.49,620.5,6.49
